publication_number,application_number,country_code,kind_code,application_kind,application_number_formatted,pct_number,family_id,spif_publication_number,spif_application_number,title_localized.text,title_localized.language,title_localized.truncated,abstract_localized.text,abstract_localized.language,abstract_localized.truncated,claims_localized.text,claims_localized.language,claims_localized.truncated,claims_localized_html.text,claims_localized_html.language,claims_localized_html.truncated,description_localized.text,description_localized.language,description_localized.truncated,description_localized_html.text,description_localized_html.language,description_localized_html.truncated,publication_date,filing_date,grant_date,priority_date,priority_claim.publication_number,priority_claim.application_number,priority_claim.npl_text,priority_claim.type,priority_claim.category,priority_claim.filing_date,inventor,inventor_harmonized.name,inventor_harmonized.country_code,assignee,assignee_harmonized.name,assignee_harmonized.country_code,examiner.name,examiner.department,examiner.level,uspc.code,uspc.inventive,uspc.first,uspc.tree,ipc.code,ipc.inventive,ipc.first,ipc.tree,cpc.code,cpc.inventive,cpc.first,cpc.tree,fi.code,fi.inventive,fi.first,fi.tree,fterm.code,fterm.inventive,fterm.first,fterm.tree,locarno.code,locarno.inventive,locarno.first,locarno.tree,citation.publication_number,citation.application_number,citation.npl_text,citation.type,citation.category,citation.filing_date,parent.publication_number,parent.application_number,parent.npl_text,parent.type,parent.category,parent.filing_date,child.publication_number,child.application_number,child.npl_text,child.type,child.category,child.filing_date,entity_status,art_unit
CN-218178311-U,CN-202221351243-U,CN,U,U,CN 202221351243,,84609241,CN218178311U,CN202221351243,Dedicated theodolite of being convenient for installation of geography survey and drawing,en,FALSE,"The utility model discloses a dedicated theodolite of being convenient for installation of geography survey and drawing, including the fixing base, still include adjusting part and clamping components, adjusting part comprises spacing axle, swivel mount, stopper A, supporting shoe, logical groove, screw rod and spacing dish, the fixing base bottom is provided with the spacing axle of three groups, spacing epaxial swivel mount of installing, stopper A is installed to the swivel mount bottom, logical groove has been seted up in the stopper A, it has stopper A to lead to the inslot peg graft, spacing dish is installed to stopper A lateral wall, it has the screw rod to peg graft in the spacing dish. The utility model discloses a clamping assembly is convenient for install and dismantle the theodolite main part fast, through adjusting part, adjusts the position of supporting shoe to adjust the survey and drawing height of theodolite main part.",en,FALSE,,,,,,,,,,,,,20221230,20220531,20221230,20220531,,CN-202221351243-U,,,,20220531,WANG ZHENG,WANG ZHENG,,天津城通工程管理有限公司,TIANJIN CHENGTONG ENGINEERING MAN CO LTD,,,,,,,,,F16F15/04,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种地理测绘专用的便于安装的经纬仪,zh,FALSE,本实用新型公开了一种地理测绘专用的便于安装的经纬仪，包括固定座，还包括调节组件和夹紧组件，所述调节组件由限位轴、旋转架、限位块A、支撑块、通槽、螺杆和限位盘组成，所述固定座底部设置有三组限位轴，所述限位轴上安装有旋转架，所述旋转架底部安装有限位块A，所述限位块A内开设有通槽，所述通槽内插接有限位块A，所述限位块A侧壁安装有限位盘，所述限位盘内插接有螺杆。本实用新型通过夹紧组件，便于快速对经纬仪主体进行安装与拆卸，通过调节组件，调节支撑块的位置，从而调节经纬仪主体的测绘高度。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01C1/02,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F16M11/04,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01C15/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F16M11/32,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218179237-U,CN-202221616218-U,CN,U,U,CN 202221616218,,84611227,CN218179237U,CN202221616218,Novel boiler,en,FALSE,"The utility model discloses a novel boiler, including the boiler body, the upper cover is installed to boiler body upper end, and the upper cover includes interior head and outer head, and outer head threaded connection is on boiler body upper end surface, and interior head welds with the boiler body upper end, and the inner cover is installed at outer head inner chamber in the interior head, the inner chamber lower part and the combustion chamber intercommunication of interior head, and upper portion and the pipe intercommunication of discharging fume, and the radiator is installed in the boiler body outside, and the hot water inlet of radiator passes through the inlet tube and is connected with the hot water delivery port of boiler body. The utility model discloses a space that the outer head intracavity lies in between baffle below and the interior head outside forms a cold water inlet and the delivery port between the water channel for the high temperature flue gas that the boiler discharged when the upper cover with cross heat exchange between the cold water in the water channel, make the waste heat of high temperature flue gas obtain retrieving, the stop of having avoided the high temperature flue gas makes whole fuselage temperature high on the high side and causes equipment to damage easily, life shortens.",en,FALSE,,,,,,,,,,,,,20221230,20220627,20221230,20220627,,CN-202221616218-U,,,,20220627,YIN XUNJIANG,YIN XUNJIANG,,黑龙江华生工程材料有限公司,HEILONGJIANG HUASHENG ENGINEERING MAT CO LTD,,,,,,,,,F24H1/22,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种新型锅炉,zh,FALSE,本实用新型公开了一种新型锅炉，包括锅炉本体，锅炉本体上端安装有上封头，上封头包括内封头和外封头，外封头螺纹连接在锅炉本体上端表面，内封头与锅炉本体上端焊接，且内封头安装在外封头内腔，内封头的内腔下部与燃烧室连通，且上部与排烟管连通，锅炉本体外侧安装有散热器，散热器的热水进水口通过进水管与锅炉本体的热水出水口连接。本实用新型通过外封头内腔内位于隔板下方与内封头外侧之间的空隙形成一个冷水进水口与出水口之间的过水通道，使得锅炉排放的高温烟气经过上封头时与过水通道内的冷水之间热量交换，使得高温烟气的余热得到回收，避免了高温烟气的停留使得整个机身温度偏高而造成设备容易损坏，使用寿命缩短。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,YANG YANZHONG,YANG YANZHONG,,,,,,,,,,,,F23J15/06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZHAO DANHUA,ZHAO DANHUA,,,,,,,,,,,,F24H9/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JIANG DEFENG,JIANG DEFENG,,,,,,,,,,,,F24H9/1832,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218179356-U,CN-202222255763-U,CN,U,U,CN 202222255763,,84622164,CN218179356U,CN202222255763,Environment-friendly circulating water cooling system,en,FALSE,"The utility model discloses an environmental protection circulating water cooling system relates to natural product and draws and relevant equipment technical field. The utility model discloses a rose box, the top of rose box is provided with a spacing section of thick bamboo to even interval in the back in the past, and the inside of a spacing section of thick bamboo is provided with the installation component, and the installation component has the filter screen including removing frame and filter screen, the internally mounted who removes the frame, is provided with the circulation subassembly in turn under the rose box, and the circulation subassembly in turn includes water tank A and water tank B, sets up relatively between water tank A and the water tank B. The utility model discloses an utilize circulation subassembly and installation component in turn, use the cooling water in water tank A and the water tank B alternately in circulation, can be incessant to needs refrigerated equipment cooling treatment, work efficiency is high, filters the water that circulates back through a plurality of filter screens, and through the installation of being convenient for under the effect of removal frame and slide rail dismantle the change filter screen, the staff of being convenient for uses the installation and dismantles, and work efficiency is high.",en,FALSE,,,,,,,,,,,,,20221230,20220826,20221230,20220826,,CN-202222255763-U,,,,20220826,WEN GUANGHE,WEN GUANGHE,,云南恒罡科技有限公司,YUNNAN HENGGANG SCIENCE AND TECH CO LTD,,,,,,,,,F25D17/02,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
